Contiguous U.S., Average Temperature, June-September,,,,Source: https://www.ncdc.noaa.gov/cag/national/time-series/110/tavg/4/9/1995-2020?base_prd=true&begbaseyear=1901&endbaseyear=2020
Units: Degrees Fahrenheit,,,,,,
Base Period: 1901-2020,,,,1901-2020 mean,,
Missing: -99,,,,69.99F,,
Date,Value,Anomaly,,,,
199509,70.03,0.04,,,,
199609,69.85,-0.14,,,,
199709,69.91,-0.08,,,,
199809,71.66,1.67,,,,
199909,69.97,-0.02,,,,
200009,70.63,0.64,,,,
200109,70.93,0.94,,,,
200209,71.6,1.61,,,,
200309,70.79,0.8,,,,
200409,69.2,-0.79,,,,
200509,71.27,1.28,,,,
200609,70.96,0.97,,,,
200709,71.41,1.42,,,,
200809,70.29,0.3,,,,
200909,69.86,-0.13,,,,
201009,71.43,1.44,,,,
201109,71.76,1.77,,,,
201209,71.85,1.86,,,,
201309,71.14,1.15,,,,
201409,70.33,0.34,,,,
201509,71.7,1.71,,,,
201609,71.91,1.92,,,,
201709,71.08,1.09,,,,
201809,72.01,2.02,,,,
201909,71.38,1.39,,,,
202009,71.66,1.67,,,,
